t1,t2,t3,t4,t5,t6,t7,t8,t9,pre
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,30
29,29,29,29,29,29,29,29,30,30
29,29,29,29,29,29,29,30,30,29
29,29,29,29,29,29,30,30,29,29
29,29,29,29,29,30,30,29,29,29
29,29,29,29,30,30,29,29,29,29
29,29,29,30,30,29,29,29,29,30
29,29,30,30,29,29,29,29,30,30
29,30,30,29,29,29,29,30,30,31
30,30,29,29,29,29,30,30,31,31
30,29,29,29,29,30,30,31,31,41
29,29,29,29,30,30,31,31,41,41
29,29,29,30,30,31,31,41,41,41
29,29,30,30,31,31,41,41,41,41
29,30,30,31,31,41,41,41,41,30
30,30,31,31,41,41,41,41,30,30
30,31,31,41,41,41,41,30,30,29
31,31,41,41,41,41,30,30,29,29
31,41,41,41,41,30,30,29,29,29
41,41,41,41,30,30,29,29,29,29
41,41,41,30,30,29,29,29,29,29
41,41,30,30,29,29,29,29,29,29
41,30,30,29,29,29,29,29,29,29
30,30,29,29,29,29,29,29,29,29
30,29,29,29,29,29,29,29,29,41
29,29,29,29,29,29,29,29,41,41
29,29,29,29,29,29,29,41,41,30
29,29,29,29,29,29,41,41,30,30
29,29,29,29,29,41,41,30,30,41
29,29,29,29,41,41,30,30,41,41
29,29,29,41,41,30,30,41,41,30
29,29,41,41,30,30,41,41,30,30
29,41,41,30,30,41,41,30,30,29
41,41,30,30,41,41,30,30,29,29
41,30,30,41,41,30,30,29,29,41
30,30,41,41,30,30,29,29,41,41
30,41,41,30,30,29,29,41,41,41
41,41,30,30,29,29,41,41,41,41
41,30,30,29,29,41,41,41,41,41
30,30,29,29,41,41,41,41,41,41
30,29,29,41,41,41,41,41,41,41
29,29,41,41,41,41,41,41,41,41
29,41,41,41,41,41,41,41,41,30
41,41,41,41,41,41,41,41,30,30
41,41,41,41,41,41,41,30,30,40
41,41,41,41,41,41,30,30,40,40
41,41,41,41,41,30,30,40,40,41
41,41,41,41,30,30,40,40,41,41
41,41,41,30,30,40,40,41,41,29
41,41,30,30,40,40,41,41,29,29
41,30,30,40,40,41,41,29,29,40
30,30,40,40,41,41,29,29,40,40
30,40,40,41,41,29,29,40,40,30
40,40,41,41,29,29,40,40,30,30
40,41,41,29,29,40,40,30,30,40
41,41,29,29,40,40,30,30,40,40
41,29,29,40,40,30,30,40,40,39
29,29,40,40,30,30,40,40,39,39
29,40,40,30,30,40,40,39,39,40
40,40,30,30,40,40,39,39,40,40
40,30,30,40,40,39,39,40,40,29
30,30,40,40,39,39,40,40,29,29
30,40,40,39,39,40,40,29,29,39
40,40,39,39,40,40,29,29,39,39
40,39,39,40,40,29,29,39,39,39
39,39,40,40,29,29,39,39,39,39
39,40,40,29,29,39,39,39,39,39
40,40,29,29,39,39,39,39,39,39
40,29,29,39,39,39,39,39,39,29
29,29,39,39,39,39,39,39,29,29
29,39,39,39,39,39,39,29,29,39
39,39,39,39,39,39,29,29,39,39
39,39,39,39,39,29,29,39,39,38
39,39,39,39,29,29,39,39,38,38
39,39,39,29,29,39,39,38,38,38
39,39,29,29,39,39,38,38,38,38
39,29,29,39,39,38,38,38,38,38
29,29,39,39,38,38,38,38,38,38
29,39,39,38,38,38,38,38,38,38
39,39,38,38,38,38,38,38,38,38
39,38,38,38,38,38,38,38,38,39
38,38,38,38,38,38,38,38,39,39
38,38,38,38,38,38,38,39,39,39
38,38,38,38,38,38,39,39,39,39
38,38,38,38,38,39,39,39,39,29
38,38,38,38,39,39,39,39,29,29
38,38,38,39,39,39,39,29,29,39
38,38,39,39,39,39,29,29,39,39
38,39,39,39,39,29,29,39,39,39
39,39,39,39,29,29,39,39,39,39
39,39,39,29,29,39,39,39,39,29
39,39,29,29,39,39,39,39,29,29
39,29,29,39,39,39,39,29,29,39
29,29,39,39,39,39,29,29,39,39
29,39,39,39,39,29,29,39,39,39
39,39,39,39,29,29,39,39,39,39
39,39,39,29,29,39,39,39,39,39
39,39,29,29,39,39,39,39,39,39
39,29,29,39,39,39,39,39,39,28
29,29,39,39,39,39,39,39,28,28
29,39,39,39,39,39,39,28,28,28
39,39,39,39,39,39,28,28,28,28
39,39,39,39,39,28,28,28,28,39
39,39,39,39,28,28,28,28,39,39
39,39,39,28,28,28,28,39,39,28
39,39,28,28,28,28,39,39,28,28
39,28,28,28,28,39,39,28,28,28
28,28,28,28,39,39,28,28,28,28
28,28,28,39,39,28,28,28,28,39
28,28,39,39,28,28,28,28,39,39
28,39,39,28,28,28,28,39,39,27
39,39,28,28,28,28,39,39,27,27
39,28,28,28,28,39,39,27,27,27
28,28,28,28,39,39,27,27,27,27
28,28,28,39,39,27,27,27,27,39
28,28,39,39,27,27,27,27,39,39
28,39,39,27,27,27,27,39,39,27
39,39,27,27,27,27,39,39,27,27
39,27,27,27,27,39,39,27,27,27
27,27,27,27,39,39,27,27,27,27
27,27,27,39,39,27,27,27,27,27
27,27,39,39,27,27,27,27,27,27
27,39,39,27,27,27,27,27,27,39
39,39,27,27,27,27,27,27,39,39
39,27,27,27,27,27,27,39,39,39
27,27,27,27,27,27,39,39,39,39
27,27,27,27,27,39,39,39,39,26
27,27,27,27,39,39,39,39,26,26
27,27,27,39,39,39,39,26,26,39
27,27,39,39,39,39,26,26,39,39
27,39,39,39,39,26,26,39,39,39
39,39,39,39,26,26,39,39,39,39
39,39,39,26,26,39,39,39,39,39
39,39,26,26,39,39,39,39,39,39
39,26,26,39,39,39,39,39,39,39
26,26,39,39,39,39,39,39,39,39
26,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,25
39,39,39,39,39,39,39,39,25,25
39,39,39,39,39,39,39,25,25,25
39,39,39,39,39,39,25,25,25,25
39,39,39,39,39,25,25,25,25,39
39,39,39,39,25,25,25,25,39,39
39,39,39,25,25,25,25,39,39,25
39,39,25,25,25,25,39,39,25,25
39,25,25,25,25,39,39,25,25,38
25,25,25,25,39,39,25,25,38,38
25,25,25,39,39,25,25,38,38,25
25,25,39,39,25,25,38,38,25,25
25,39,39,25,25,38,38,25,25,27
39,39,25,25,38,38,25,25,27,27
39,25,25,38,38,25,25,27,27,25
25,25,38,38,25,25,27,27,25,25
25,38,38,25,25,27,27,25,25,38
38,38,25,25,27,27,25,25,38,38
38,25,25,27,27,25,25,38,38,27
25,25,27,27,25,25,38,38,27,27
25,27,27,25,25,38,38,27,27,25
27,27,25,25,38,38,27,27,25,25
27,25,25,38,38,27,27,25,25,25
25,25,38,38,27,27,25,25,25,25
25,38,38,27,27,25,25,25,25,26
38,38,27,27,25,25,25,25,26,26
38,27,27,25,25,25,25,26,26,26
27,27,25,25,25,25,26,26,26,26
27,25,25,25,25,26,26,26,26,38
25,25,25,25,26,26,26,26,38,38
25,25,25,26,26,26,26,38,38,38
25,25,26,26,26,26,38,38,38,38
25,26,26,26,26,38,38,38,38,25
26,26,26,26,38,38,38,38,25,25
26,26,26,38,38,38,38,25,25,37
26,26,38,38,38,38,25,25,37,37
26,38,38,38,38,25,25,37,37,25
38,38,38,38,25,25,37,37,25,25
38,38,38,25,25,37,37,25,25,25
38,38,25,25,37,37,25,25,25,25
38,25,25,37,37,25,25,25,25,38
25,25,37,37,25,25,25,25,38,38
25,37,37,25,25,25,25,38,38,25
37,37,25,25,25,25,38,38,25,25
37,25,25,25,25,38,38,25,25,38
25,25,25,25,38,38,25,25,38,38
25,25,25,38,38,25,25,38,38,25
25,25,38,38,25,25,38,38,25,25
25,38,38,25,25,38,38,25,25,25
38,38,25,25,38,38,25,25,25,25
38,25,25,38,38,25,25,25,25,38
25,25,38,38,25,25,25,25,38,38
25,38,38,25,25,25,25,38,38,25
38,38,25,25,25,25,38,38,25,25
38,25,25,25,25,38,38,25,25,25
25,25,25,25,38,38,25,25,25,25
25,25,25,38,38,25,25,25,25,37
25,25,38,38,25,25,25,25,37,37
25,38,38,25,25,25,25,37,37,37
38,38,25,25,25,25,37,37,37,37
38,25,25,25,25,37,37,37,37,25
25,25,25,25,37,37,37,37,25,25
25,25,25,37,37,37,37,25,25,25
25,25,37,37,37,37,25,25,25,25
25,37,37,37,37,25,25,25,25,25
37,37,37,37,25,25,25,25,25,25
37,37,37,25,25,25,25,25,25,37
37,37,25,25,25,25,25,25,37,37
37,25,25,25,25,25,25,37,37,25
25,25,25,25,25,25,37,37,25,25
25,25,25,25,25,37,37,25,25,37
25,25,25,25,37,37,25,25,37,37
25,25,25,37,37,25,25,37,37,37
25,25,37,37,25,25,37,37,37,37
25,37,37,25,25,37,37,37,37,25
37,37,25,25,37,37,37,37,25,25
37,25,25,37,37,37,37,25,25,37
25,25,37,37,37,37,25,25,37,37
25,37,37,37,37,25,25,37,37,36
37,37,37,37,25,25,37,37,36,36
37,37,37,25,25,37,37,36,36,36
37,37,25,25,37,37,36,36,36,36
37,25,25,37,37,36,36,36,36,25
25,25,37,37,36,36,36,36,25,25
25,37,37,36,36,36,36,25,25,25
37,37,36,36,36,36,25,25,25,25
37,36,36,36,36,25,25,25,25,36
36,36,36,36,25,25,25,25,36,36
36,36,36,25,25,25,25,36,36,25
36,36,25,25,25,25,36,36,25,25
36,25,25,25,25,36,36,25,25,35
25,25,25,25,36,36,25,25,35,35
25,25,25,36,36,25,25,35,35,36
25,25,36,36,25,25,35,35,36,36
25,36,36,25,25,35,35,36,36,25
36,36,25,25,35,35,36,36,25,25
36,25,25,35,35,36,36,25,25,35
25,25,35,35,36,36,25,25,35,35
25,35,35,36,36,25,25,35,35,25
35,35,36,36,25,25,35,35,25,25
35,36,36,25,25,35,35,25,25,35
36,36,25,25,35,35,25,25,35,35
36,25,25,35,35,25,25,35,35,34
25,25,35,35,25,25,35,35,34,34
25,35,35,25,25,35,35,34,34,25
35,35,25,25,35,35,34,34,25,25
35,25,25,35,35,34,34,25,25,35
25,25,35,35,34,34,25,25,35,35
25,35,35,34,34,25,25,35,35,25
35,35,34,34,25,25,35,35,25,25
35,34,34,25,25,35,35,25,25,26
34,34,25,25,35,35,25,25,26,26
34,25,25,35,35,25,25,26,26,34
25,25,35,35,25,25,26,26,34,34
25,35,35,25,25,26,26,34,34,25
35,35,25,25,26,26,34,34,25,25
35,25,25,26,26,34,34,25,25,34
25,25,26,26,34,34,25,25,34,34
25,26,26,34,34,25,25,34,34,25
26,26,34,34,25,25,34,34,25,25
26,34,34,25,25,34,34,25,25,34
34,34,25,25,34,34,25,25,34,34
34,25,25,34,34,25,25,34,34,25
25,25,34,34,25,25,34,34,25,25
25,34,34,25,25,34,34,25,25,25
34,34,25,25,34,34,25,25,25,25
34,25,25,34,34,25,25,25,25,33
25,25,34,34,25,25,25,25,33,33
25,34,34,25,25,25,25,33,33,33
34,34,25,25,25,25,33,33,33,33
34,25,25,25,25,33,33,33,33,33
25,25,25,25,33,33,33,33,33,33
25,25,25,33,33,33,33,33,33,26
25,25,33,33,33,33,33,33,26,26
25,33,33,33,33,33,33,26,26,34
33,33,33,33,33,33,26,26,34,34
33,33,33,33,33,26,26,34,34,26
33,33,33,33,26,26,34,34,26,26
33,33,33,26,26,34,34,26,26,27
33,33,26,26,34,34,26,26,27,27
33,26,26,34,34,26,26,27,27,33
26,26,34,34,26,26,27,27,33,33
26,34,34,26,26,27,27,33,33,26
34,34,26,26,27,27,33,33,26,26
34,26,26,27,27,33,33,26,26,33
26,26,27,27,33,33,26,26,33,33
26,27,27,33,33,26,26,33,33,32
27,27,33,33,26,26,33,33,32,32
27,33,33,26,26,33,33,32,32,33
33,33,26,26,33,33,32,32,33,33
33,26,26,33,33,32,32,33,33,33
26,26,33,33,32,32,33,33,33,33
26,33,33,32,32,33,33,33,33,27
33,33,32,32,33,33,33,33,27,27
33,32,32,33,33,33,33,27,27,32
32,32,33,33,33,33,27,27,32,32
32,33,33,33,33,27,27,32,32,26
33,33,33,33,27,27,32,32,26,26
33,33,33,27,27,32,32,26,26,32
33,33,27,27,32,32,26,26,32,32
33,27,27,32,32,26,26,32,32,26
27,27,32,32,26,26,32,32,26,26
27,32,32,26,26,32,32,26,26,32
32,32,26,26,32,32,26,26,32,32
32,26,26,32,32,26,26,32,32,32
26,26,32,32,26,26,32,32,32,32
26,32,32,26,26,32,32,32,32,26
32,32,26,26,32,32,32,32,26,26
32,26,26,32,32,32,32,26,26,27
26,26,32,32,32,32,26,26,27,27
26,32,32,32,32,26,26,27,27,27
32,32,32,32,26,26,27,27,27,27
32,32,32,26,26,27,27,27,27,27
32,32,26,26,27,27,27,27,27,27
32,26,26,27,27,27,27,27,27,28
26,26,27,27,27,27,27,27,28,28
26,27,27,27,27,27,27,28,28,31
27,27,27,27,27,27,28,28,31,31
27,27,27,27,27,28,28,31,31,28
27,27,27,27,28,28,31,31,28,28
27,27,27,28,28,31,31,28,28,30
27,27,28,28,31,31,28,28,30,30
27,28,28,31,31,28,28,30,30,32
28,28,31,31,28,28,30,30,32,32
28,31,31,28,28,30,30,32,32,30
31,31,28,28,30,30,32,32,30,30
31,28,28,30,30,32,32,30,30,32
28,28,30,30,32,32,30,30,32,32
28,30,30,32,32,30,30,32,32,33
30,30,32,32,30,30,32,32,33,33
30,32,32,30,30,32,32,33,33,32
32,32,30,30,32,32,33,33,32,32
32,30,30,32,32,33,33,32,32,30
30,30,32,32,33,33,32,32,30,30
30,32,32,33,33,32,32,30,30,30
32,32,33,33,32,32,30,30,30,30
32,33,33,32,32,30,30,30,30,32
33,33,32,32,30,30,30,30,32,32
33,32,32,30,30,30,30,32,32,32
32,32,30,30,30,30,32,32,32,32
32,30,30,30,30,32,32,32,32,33
30,30,30,30,32,32,32,32,33,33
30,30,30,32,32,32,32,33,33,30
30,30,32,32,32,32,33,33,30,30
30,32,32,32,32,33,33,30,30,34
32,32,32,32,33,33,30,30,34,34
32,32,32,33,33,30,30,34,34,31
32,32,33,33,30,30,34,34,31,31
32,33,33,30,30,34,34,31,31,33
33,33,30,30,34,34,31,31,33,33
33,30,30,34,34,31,31,33,33,30
30,30,34,34,31,31,33,33,30,30
30,34,34,31,31,33,33,30,30,29
34,34,31,31,33,33,30,30,29,29
34,31,31,33,33,30,30,29,29,33
31,31,33,33,30,30,29,29,33,33
31,33,33,30,30,29,29,33,33,34
33,33,30,30,29,29,33,33,34,34
33,30,30,29,29,33,33,34,34,33
30,30,29,29,33,33,34,34,33,33
30,29,29,33,33,34,34,33,33,34
29,29,33,33,34,34,33,33,34,34
29,33,33,34,34,33,33,34,34,34
33,33,34,34,33,33,34,34,34,34
33,34,34,33,33,34,34,34,34,34
34,34,33,33,34,34,34,34,34,34
34,33,33,34,34,34,34,34,34,34
33,33,34,34,34,34,34,34,34,34
33,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,34
34,34,34,34,34,34,34,34,34,33
34,34,34,34,34,34,34,34,33,33
34,34,34,34,34,34,34,33,33,34
34,34,34,34,34,34,33,33,34,34
34,34,34,34,34,33,33,34,34,33
34,34,34,34,33,33,34,34,33,33
34,34,34,33,33,34,34,33,33,33
34,34,33,33,34,34,33,33,33,33
34,33,33,34,34,33,33,33,33,32
33,33,34,34,33,33,33,33,32,32
33,34,34,33,33,33,33,32,32,33
34,34,33,33,33,33,32,32,33,33
34,33,33,33,33,32,32,33,33,32
33,33,33,33,32,32,33,33,32,32
33,33,33,32,32,33,33,32,32,31
33,33,32,32,33,33,32,32,31,31
33,32,32,33,33,32,32,31,31,30
32,32,33,33,32,32,31,31,30,30
32,33,33,32,32,31,31,30,30,31
33,33,32,32,31,31,30,30,31,31
33,32,32,31,31,30,30,31,31,30
32,32,31,31,30,30,31,31,30,30
32,31,31,30,30,31,31,30,30,33
31,31,30,30,31,31,30,30,33,33
31,30,30,31,31,30,30,33,33,30
30,30,31,31,30,30,33,33,30,30
30,31,31,30,30,33,33,30,30,32
31,31,30,30,33,33,30,30,32,32
31,30,30,33,33,30,30,32,32,30
30,30,33,33,30,30,32,32,30,30
30,33,33,30,30,32,32,30,30,32
33,33,30,30,32,32,30,30,32,32
33,30,30,32,32,30,30,32,32,30
30,30,32,32,30,30,32,32,30,30
30,32,32,30,30,32,32,30,30,33
32,32,30,30,32,32,30,30,33,33
32,30,30,32,32,30,30,33,33,33
30,30,32,32,30,30,33,33,33,33
30,32,32,30,30,33,33,33,33,32
32,32,30,30,33,33,33,33,32,32
32,30,30,33,33,33,33,32,32,31
30,30,33,33,33,33,32,32,31,31
30,33,33,33,33,32,32,31,31,30
33,33,33,33,32,32,31,31,30,30
33,33,33,32,32,31,31,30,30,32
33,33,32,32,31,31,30,30,32,32
33,32,32,31,31,30,30,32,32,30
32,32,31,31,30,30,32,32,30,30
32,31,31,30,30,32,32,30,30,32
31,31,30,30,32,32,30,30,32,32
31,30,30,32,32,30,30,32,32,32
30,30,32,32,30,30,32,32,32,32
30,32,32,30,30,32,32,32,32,31
32,32,30,30,32,32,32,32,31,31
32,30,30,32,32,32,32,31,31,30
30,30,32,32,32,32,31,31,30,30
30,32,32,32,32,31,31,30,30,30
32,32,32,32,31,31,30,30,30,30
32,32,32,31,31,30,30,30,30,30
32,32,31,31,30,30,30,30,30,30
32,31,31,30,30,30,30,30,30,30
31,31,30,30,30,30,30,30,30,30
31,30,30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30,30,31
30,30,30,30,30,30,30,30,31,31
30,30,30,30,30,30,30,31,31,30
30,30,30,30,30,30,31,31,30,30
30,30,30,30,30,31,31,30,30,32
30,30,30,30,31,31,30,30,32,32
30,30,30,31,31,30,30,32,32,32
30,30,31,31,30,30,32,32,32,32
30,31,31,30,30,32,32,32,32,33
31,31,30,30,32,32,32,32,33,33
31,30,30,32,32,32,32,33,33,33
30,30,32,32,32,32,33,33,33,33
30,32,32,32,32,33,33,33,33,33
32,32,32,32,33,33,33,33,33,33
32,32,32,33,33,33,33,33,33,32
32,32,33,33,33,33,33,33,32,32
32,33,33,33,33,33,33,32,32,31
33,33,33,33,33,33,32,32,31,31
33,33,33,33,33,32,32,31,31,32
33,33,33,33,32,32,31,31,32,32
33,33,33,32,32,31,31,32,32,33
33,33,32,32,31,31,32,32,33,33
33,32,32,31,31,32,32,33,33,34
32,32,31,31,32,32,33,33,34,34
32,31,31,32,32,33,33,34,34,34
31,31,32,32,33,33,34,34,34,34
31,32,32,33,33,34,34,34,34,33
32,32,33,33,34,34,34,34,33,33
32,33,33,34,34,34,34,33,33,33
33,33,34,34,34,34,33,33,33,33
33,34,34,34,34,33,33,33,33,32
34,34,34,34,33,33,33,33,32,32
34,34,34,33,33,33,33,32,32,32
34,34,33,33,33,33,32,32,32,32
34,33,33,33,33,32,32,32,32,34
33,33,33,33,32,32,32,32,34,34
33,33,33,32,32,32,32,34,34,33
33,33,32,32,32,32,34,34,33,33
33,32,32,32,32,34,34,33,33,32
32,32,32,32,34,34,33,33,32,32
32,32,32,34,34,33,33,32,32,33
32,32,34,34,33,33,32,32,33,33
32,34,34,33,33,32,32,33,33,34
34,34,33,33,32,32,33,33,34,34
34,33,33,32,32,33,33,34,34,34
33,33,32,32,33,33,34,34,34,34
33,32,32,33,33,34,34,34,34,30
32,32,33,33,34,34,34,34,30,30
32,33,33,34,34,34,34,30,30,33
33,33,34,34,34,34,30,30,33,33
33,34,34,34,34,30,30,33,33,30
34,34,34,34,30,30,33,33,30,30
34,34,34,30,30,33,33,30,30,34
34,34,30,30,33,33,30,30,34,34
34,30,30,33,33,30,30,34,34,30
30,30,33,33,30,30,34,34,30,30
30,33,33,30,30,34,34,30,30,35
33,33,30,30,34,34,30,30,35,35
33,30,30,34,34,30,30,35,35,30
30,30,34,34,30,30,35,35,30,30
30,34,34,30,30,35,35,30,30,35
34,34,30,30,35,35,30,30,35,35
34,30,30,35,35,30,30,35,35,30
30,30,35,35,30,30,35,35,30,30
30,35,35,30,30,35,35,30,30,35
35,35,30,30,35,35,30,30,35,35
35,30,30,35,35,30,30,35,35,35
30,30,35,35,30,30,35,35,35,35
30,35,35,30,30,35,35,35,35,35
35,35,30,30,35,35,35,35,35,35
35,30,30,35,35,35,35,35,35,36
30,30,35,35,35,35,35,35,36,36
30,35,35,35,35,35,35,36,36,35
35,35,35,35,35,35,36,36,35,35
35,35,35,35,35,36,36,35,35,36
35,35,35,35,36,36,35,35,36,36
35,35,35,36,36,35,35,36,36,35
35,35,36,36,35,35,36,36,35,35
35,36,36,35,35,36,36,35,35,35
36,36,35,35,36,36,35,35,35,35
36,35,35,36,36,35,35,35,35,34
35,35,36,36,35,35,35,35,34,34
35,36,36,35,35,35,35,34,34,35
36,36,35,35,35,35,34,34,35,35
36,35,35,35,35,34,34,35,35,36
35,35,35,35,34,34,35,35,36,36
35,35,35,34,34,35,35,36,36,36
35,35,34,34,35,35,36,36,36,36
35,34,34,35,35,36,36,36,36,36
34,34,35,35,36,36,36,36,36,36
34,35,35,36,36,36,36,36,36,36
35,35,36,36,36,36,36,36,36,36
35,36,36,36,36,36,36,36,36,37
36,36,36,36,36,36,36,36,37,37
36,36,36,36,36,36,36,37,37,36
36,36,36,36,36,36,37,37,36,36
36,36,36,36,36,37,37,36,36,37
36,36,36,36,37,37,36,36,37,37
36,36,36,37,37,36,36,37,37,37
36,36,37,37,36,36,37,37,37,37
36,37,37,36,36,37,37,37,37,36
37,37,36,36,37,37,37,37,36,36
37,36,36,37,37,37,37,36,36,37
36,36,37,37,37,37,36,36,37,37
36,37,37,37,37,36,36,37,37,37
37,37,37,37,36,36,37,37,37,37
37,37,37,36,36,37,37,37,37,36
37,37,36,36,37,37,37,37,36,36
37,36,36,37,37,37,37,36,36,37
36,36,37,37,37,37,36,36,37,37
36,37,37,37,37,36,36,37,37,36
37,37,37,37,36,36,37,37,36,36
37,37,37,36,36,37,37,36,36,36
37,37,36,36,37,37,36,36,36,36
37,36,36,37,37,36,36,36,36,37
36,36,37,37,36,36,36,36,37,37
36,37,37,36,36,36,36,37,37,37
37,37,36,36,36,36,37,37,37,37
37,36,36,36,36,37,37,37,37,37
36,36,36,36,37,37,37,37,37,37
36,36,36,37,37,37,37,37,37,37
36,36,37,37,37,37,37,37,37,37
36,37,37,37,37,37,37,37,37,36
37,37,37,37,37,37,37,37,36,36
37,37,37,37,37,37,37,36,36,36
37,37,37,37,37,37,36,36,36,36
37,37,37,37,37,36,36,36,36,37
37,37,37,37,36,36,36,36,37,37
37,37,37,36,36,36,36,37,37,36
37,37,36,36,36,36,37,37,36,36
37,36,36,36,36,37,37,36,36,36
36,36,36,36,37,37,36,36,36,36
36,36,36,37,37,36,36,36,36,37
36,36,37,37,36,36,36,36,37,37
36,37,37,36,36,36,36,37,37,37
37,37,36,36,36,36,37,37,37,37
37,36,36,36,36,37,37,37,37,37
36,36,36,36,37,37,37,37,37,37
36,36,36,37,37,37,37,37,37,37
36,36,37,37,37,37,37,37,37,37
36,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,36
37,37,37,37,37,37,37,37,36,36
37,37,37,37,37,37,37,36,36,36
37,37,37,37,37,37,36,36,36,36
37,37,37,37,37,36,36,36,36,36
37,37,37,37,36,36,36,36,36,36
37,37,37,36,36,36,36,36,36,36
37,37,36,36,36,36,36,36,36,36
37,36,36,36,36,36,36,36,36,36
36,36,36,36,36,36,36,36,36,36
36,36,36,36,36,36,36,36,36,36
36,36,36,36,36,36,36,36,36,36
36,36,36,36,36,36,36,36,36,36
36,36,36,36,36,36,36,36,36,36
36,36,36,36,36,36,36,36,36,37
36,36,36,36,36,36,36,36,37,37
36,36,36,36,36,36,36,37,37,36
36,36,36,36,36,36,37,37,36,36
36,36,36,36,36,37,37,36,36,30
36,36,36,36,37,37,36,36,30,30
36,36,36,37,37,36,36,30,30,30
36,36,37,37,36,36,30,30,30,30
36,37,37,36,36,30,30,30,30,30
37,37,36,36,30,30,30,30,30,30
37,36,36,30,30,30,30,30,30,37
36,36,30,30,30,30,30,30,37,37
36,30,30,30,30,30,30,37,37,38
30,30,30,30,30,30,37,37,38,38
30,30,30,30,30,37,37,38,38,37
30,30,30,30,37,37,38,38,37,37
30,30,30,37,37,38,38,37,37,38
30,30,37,37,38,38,37,37,38,38
30,37,37,38,38,37,37,38,38,38
37,37,38,38,37,37,38,38,38,38
37,38,38,37,37,38,38,38,38,38
38,38,37,37,38,38,38,38,38,38
38,37,37,38,38,38,38,38,38,38
37,37,38,38,38,38,38,38,38,38
37,38,38,38,38,38,38,38,38,37
38,38,38,38,38,38,38,38,37,37
38,38,38,38,38,38,38,37,37,38
38,38,38,38,38,38,37,37,38,38
38,38,38,38,38,37,37,38,38,38
38,38,38,38,37,37,38,38,38,38
38,38,38,37,37,38,38,38,38,38
38,38,37,37,38,38,38,38,38,38
38,37,37,38,38,38,38,38,38,37
37,37,38,38,38,38,38,38,37,37
37,38,38,38,38,38,38,37,37,38
38,38,38,38,38,38,37,37,38,38
38,38,38,38,38,37,37,38,38,37
38,38,38,38,37,37,38,38,37,37
38,38,38,37,37,38,38,37,37,37
38,38,37,37,38,38,37,37,37,37
38,37,37,38,38,37,37,37,37,37
37,37,38,38,37,37,37,37,37,37
37,38,38,37,37,37,37,37,37,38
38,38,37,37,37,37,37,37,38,38
38,37,37,37,37,37,37,38,38,30
37,37,37,37,37,37,38,38,30,30
37,37,37,37,37,38,38,30,30,37
37,37,37,37,38,38,30,30,37,37
37,37,37,38,38,30,30,37,37,37
37,37,38,38,30,30,37,37,37,37
37,38,38,30,30,37,37,37,37,37
38,38,30,30,37,37,37,37,37,37
38,30,30,37,37,37,37,37,37,38
30,30,37,37,37,37,37,37,38,38
30,37,37,37,37,37,37,38,38,37
37,37,37,37,37,37,38,38,37,37
37,37,37,37,37,38,38,37,37,37
37,37,37,37,38,38,37,37,37,37
37,37,37,38,38,37,37,37,37,37
37,37,38,38,37,37,37,37,37,37
37,38,38,37,37,37,37,37,37,37
38,38,37,37,37,37,37,37,37,37
38,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,30
37,37,37,37,37,37,37,37,30,30
37,37,37,37,37,37,37,30,30,30
37,37,37,37,37,37,30,30,30,30
37,37,37,37,37,30,30,30,30,30
37,37,37,37,30,30,30,30,30,30
37,37,37,30,30,30,30,30,30,30
37,37,30,30,30,30,30,30,30,30
37,30,30,30,30,30,30,30,30,38
30,30,30,30,30,30,30,30,38,38
30,30,30,30,30,30,30,38,38,30
30,30,30,30,30,30,38,38,30,30
